Crop Size,Tumor,Coverage Threshold,Cases,Total,Percentage
160³,GTVp,100%,164,197,83.248730964467
160³,GTVp,≥99%,170,197,86.29441624365482
160³,GTVp,≥95%,175,197,88.83248730964468
160³,GTVp,≥90%,177,197,89.84771573604061
160³,GTVp,≥75%,186,197,94.41624365482234
160³,GTVp,≥50%,189,197,95.93908629441624
160³,GTVp,<50%,8,197,4.060913705583756
160³,GTVn,100%,142,179,79.32960893854748
160³,GTVn,≥99%,148,179,82.68156424581005
160³,GTVn,≥95%,154,179,86.03351955307262
160³,GTVn,≥90%,161,179,89.94413407821229
160³,GTVn,≥75%,167,179,93.29608938547486
160³,GTVn,≥50%,174,179,97.20670391061452
160³,GTVn,<50%,5,179,2.793296089385475
192³,GTVp,100%,188,197,95.43147208121827
192³,GTVp,≥99%,189,197,95.93908629441624
192³,GTVp,≥95%,190,197,96.44670050761421
192³,GTVp,≥90%,190,197,96.44670050761421
192³,GTVp,≥75%,193,197,97.96954314720813
192³,GTVp,≥50%,195,197,98.98477157360406
192³,GTVp,<50%,2,197,1.015228426395939
192³,GTVn,100%,164,179,91.62011173184358
192³,GTVn,≥99%,167,179,93.29608938547486
192³,GTVn,≥95%,172,179,96.08938547486034
192³,GTVn,≥90%,172,179,96.08938547486034
192³,GTVn,≥75%,175,179,97.76536312849161
192³,GTVn,≥50%,178,179,99.44134078212291
192³,GTVn,<50%,1,179,0.5586592178770949
224³,GTVp,100%,194,197,98.4771573604061
224³,GTVp,≥99%,195,197,98.98477157360406
224³,GTVp,≥95%,195,197,98.98477157360406
224³,GTVp,≥90%,195,197,98.98477157360406
224³,GTVp,≥75%,196,197,99.49238578680203
224³,GTVp,≥50%,196,197,99.49238578680203
224³,GTVp,<50%,1,197,0.5076142131979695
224³,GTVn,100%,173,179,96.64804469273743
224³,GTVn,≥99%,173,179,96.64804469273743
224³,GTVn,≥95%,174,179,97.20670391061452
224³,GTVn,≥90%,176,179,98.32402234636872
224³,GTVn,≥75%,178,179,99.44134078212291
224³,GTVn,≥50%,179,179,100.0
224³,GTVn,<50%,0,179,0.0
