Crop Size,Tumor,Coverage Threshold,Cases,Total,Percentage
160³,GTVp,100%,160,169,94.67455621301775
160³,GTVp,≥99%,160,169,94.67455621301775
160³,GTVp,≥95%,160,169,94.67455621301775
160³,GTVp,≥90%,162,169,95.85798816568047
160³,GTVp,≥75%,162,169,95.85798816568047
160³,GTVp,≥50%,164,169,97.0414201183432
160³,GTVp,<50%,5,169,2.9585798816568047
160³,GTVn,100%,134,164,81.70731707317073
160³,GTVn,≥99%,138,164,84.14634146341463
160³,GTVn,≥95%,145,164,88.41463414634147
160³,GTVn,≥90%,151,164,92.07317073170732
160³,GTVn,≥75%,155,164,94.51219512195122
160³,GTVn,≥50%,161,164,98.17073170731707
160³,GTVn,<50%,3,164,1.829268292682927
192³,GTVp,100%,163,169,96.44970414201184
192³,GTVp,≥99%,164,169,97.0414201183432
192³,GTVp,≥95%,164,169,97.0414201183432
192³,GTVp,≥90%,165,169,97.63313609467455
192³,GTVp,≥75%,166,169,98.22485207100591
192³,GTVp,≥50%,168,169,99.40828402366864
192³,GTVp,<50%,1,169,0.591715976331361
192³,GTVn,100%,153,164,93.29268292682927
192³,GTVn,≥99%,155,164,94.51219512195122
192³,GTVn,≥95%,156,164,95.1219512195122
192³,GTVn,≥90%,159,164,96.95121951219512
192³,GTVn,≥75%,161,164,98.17073170731707
192³,GTVn,≥50%,163,164,99.39024390243902
192³,GTVn,<50%,1,164,0.6097560975609756
224³,GTVp,100%,168,169,99.40828402366864
224³,GTVp,≥99%,168,169,99.40828402366864
224³,GTVp,≥95%,169,169,100.0
224³,GTVp,≥90%,169,169,100.0
224³,GTVp,≥75%,169,169,100.0
224³,GTVp,≥50%,169,169,100.0
224³,GTVp,<50%,0,169,0.0
224³,GTVn,100%,161,164,98.17073170731707
224³,GTVn,≥99%,161,164,98.17073170731707
224³,GTVn,≥95%,162,164,98.78048780487805
224³,GTVn,≥90%,163,164,99.39024390243902
224³,GTVn,≥75%,164,164,100.0
224³,GTVn,≥50%,164,164,100.0
224³,GTVn,<50%,0,164,0.0
